Timestamp,Wind speed m/s
17:14:14,2.7
17:14:18,3
17:14:22,2.1
17:14:26,2.6
17:14:30,2.9
17:14:34,2.9
17:14:38,3
17:14:42,2.7
17:14:46,3.6
17:14:50,2.9
17:14:54,2.5
17:14:58,2.4
17:15:02,1.3
17:15:06,1
17:15:10,0.6
17:15:14,0.9
17:15:18,1.5
17:15:22,1
17:15:26,0.6
17:15:30,0.9
17:15:34,0.7
17:15:38,0.4
17:15:42,0.4
17:15:46,1.6
17:15:50,2
17:15:54,2
17:15:58,2
17:16:02,2
17:16:06,1.8
17:16:10,1.8
17:16:14,2.7
17:16:18,2.1
17:16:22,3.1
17:16:26,3.7
17:16:30,2.5
17:16:34,3
17:16:38,2.3
17:16:42,2.1
17:16:46,1.9
17:16:50,1.4
17:16:54,1.9
17:16:58,1.9
17:17:02,1.3
17:17:06,2.8
17:17:10,3.5
17:17:14,2.6
17:17:18,2.6
17:17:22,2.1
17:17:26,2.3
17:17:30,1.9
17:17:34,2.3
17:17:38,2
17:17:42,2
17:17:46,2.5
17:17:50,3.6
17:17:54,3.1
17:17:58,2.6
17:18:02,3.3
17:18:06,2.6
17:18:10,3.1
17:18:14,2.8
17:18:18,3
17:18:22,2.9
17:18:26,2.9
17:18:30,2.7
17:18:34,3.1
17:18:38,2.9
17:18:42,4.2
17:18:46,2.9
17:18:50,2.2
17:18:54,1.5
17:18:58,1.6
17:19:02,1.8
17:19:06,3.4
17:19:10,2.5
17:19:14,3.1
17:19:18,2.5
17:19:22,2.3
17:19:26,2.5
17:19:30,1.9
17:19:34,1.6
17:19:38,1.7
17:19:42,1.7
17:19:46,2.1
17:19:50,1.8
17:19:54,2.2
17:19:58,4.2
17:20:02,4
17:20:06,2
17:20:10,1.2
17:20:14,1.3
17:20:18,1.4
17:20:22,1.7
17:20:26,2.2
17:20:30,2.2
17:20:34,1.9
17:20:38,1.7
17:20:42,1.6
17:20:46,1.5
17:20:50,1.6
17:20:54,1.6
17:20:58,2.2
17:21:02,2.4
17:21:06,2.1
17:21:10,1.8
17:21:14,1.9
17:21:18,2.3
17:21:22,3.5
17:21:26,3.5
17:21:30,2.3
17:21:34,3.3
17:21:38,3.7
17:21:42,4.2
17:21:46,3.3
17:21:50,2.6
17:21:54,3.5
17:21:58,3
17:22:02,3.2
17:22:06,3
17:22:10,2.9
17:22:14,3
17:22:18,2.6
17:22:22,4.4
17:22:26,2.6
17:22:30,3.1
17:22:34,2.7
17:22:38,2.5
17:22:42,2.3
17:22:46,1.8
17:22:50,1.5
17:22:54,1
17:22:58,1.4
17:23:02,2.6
17:23:06,3.5
17:23:10,3
17:23:14,1.7
17:23:18,2.6
17:23:22,3.6
17:23:26,2.3
17:23:30,2.2
17:23:34,2.1
17:23:38,2.2
17:23:42,4.1
17:23:46,2.5
17:23:50,3.4
17:23:54,2.8
17:23:58,3.3
17:24:02,3.8
17:24:06,2.9
17:24:10,2.6
17:24:14,3.1
17:24:18,3.6
17:24:22,2.5
17:24:26,2.7
17:24:30,2.6
17:24:34,3.1
17:24:38,2.6
17:24:42,2.6
17:24:46,1.5
17:24:50,1.7
17:24:54,1.8
17:24:58,1.5
17:25:02,2
17:25:06,3.4
17:25:10,3
17:25:14,3
17:25:18,3.6
17:25:22,3.4
17:25:26,3
17:25:30,2.4
17:25:34,2.2
17:25:38,2.4
17:25:42,2.5
17:25:46,1.7
17:25:50,1.7
17:25:54,1.4
17:25:58,1.8
17:26:02,1.8
17:26:06,2
17:26:10,2.1
17:26:14,2.2
17:26:18,1.6
17:26:22,1.6
17:26:26,1.3
17:26:30,1.1
17:26:34,1
17:26:38,1.9
17:26:42,1.8
17:26:46,2
17:26:50,2.5
17:26:55,3.2
17:26:59,2.3
17:27:03,3.1
17:27:07,2.6
17:27:11,2.1
17:27:15,2.3
17:27:19,3.3
17:27:23,2.7
17:27:27,2.1
17:27:31,2.1
17:27:35,1.9
17:27:39,1.9
17:27:43,1.5
17:27:47,1.5
17:27:51,1.3
17:27:55,1.6
17:27:59,1.6
17:28:03,1.9
17:28:07,2
17:28:11,2
17:28:15,2.2
17:28:19,2.7
17:28:23,2.5
17:28:27,1.9
17:28:31,0.5
17:28:35,1.4
17:28:39,2
17:28:43,1.8
17:28:47,2.5
17:28:51,1.4
17:28:55,1
17:28:59,0.6
17:29:03,1.1
17:29:07,1
17:29:11,2.3
17:29:15,1.8
17:29:19,1.8
17:29:23,1.4
17:29:27,1.6
17:29:31,1.8
17:29:35,1.5
17:29:39,1.2
17:29:43,1
17:29:47,0.2
17:29:51,1.5
17:29:55,2
17:29:59,1.8
17:30:03,1.4
17:30:07,1.2
17:30:11,1
17:30:15,1.1
17:30:19,0.7
17:30:23,1.3
17:30:27,2.3
17:30:31,2.3
17:30:35,2.2
17:30:39,2.9
17:30:43,2.3
17:30:47,2.1
17:30:51,1.7
17:30:55,1.4
17:30:59,1.2
17:31:03,1.4
17:31:07,1.4
17:31:11,1.5
17:31:15,1.7
17:31:19,1.7
17:31:23,1.9
17:31:27,1.9
17:31:31,2
17:31:35,1.7
17:31:39,1.8
17:31:43,1.8
17:31:47,1.8
17:31:51,1.2
17:31:55,1.1
17:31:59,1
17:32:03,2
17:32:07,1.9
17:32:11,2.2
17:32:15,3.1
17:32:19,2.6
17:32:23,2.5
17:32:27,1.6
17:32:31,1.3
17:32:35,2.4
17:32:39,2.3
17:32:43,1.6
17:32:47,1.5
17:32:51,1.8
17:32:55,2.1
17:32:59,2
17:33:03,1.5
17:33:07,1.7
17:33:11,2.2
17:33:15,2.9
17:33:19,3
17:33:23,2.8
17:33:27,2.5
17:33:31,2.5
17:33:35,2.2
17:33:39,2.5
17:33:43,2.2
17:33:47,1.7
17:33:51,1.4
17:33:55,1.4
17:33:59,1.9
17:34:03,2.2
17:34:07,1.9
17:34:11,1.5
17:34:15,1.5
17:34:19,1.3
17:34:23,1.1
17:34:27,1.9
17:34:31,1.5
17:34:35,1.1
17:34:39,1.5
17:34:43,1.5
17:34:47,1.9
17:34:51,2.4
17:34:55,2.4
17:34:59,2.7
17:35:03,1.8
17:35:07,2.6
17:35:11,2.3
17:35:15,2.2
17:35:19,1.4
17:35:23,1.2
17:35:27,1
17:35:31,0.7
17:35:35,0.3
17:35:39,0.2
17:35:43,0.9
17:35:47,1.4
17:35:51,1.8
17:35:55,1.4
17:35:59,1.3
17:36:03,1.7
17:36:07,1.6
17:36:11,1.2
17:36:15,1.9
17:36:19,1.9
17:36:23,1.6
17:36:27,2
17:36:31,1.9
17:36:35,2.2
17:36:39,1.7
17:36:43,1.8
17:36:47,0.6
17:36:51,0.8
17:36:55,1.5
17:36:59,0.2
17:37:03,1.7
17:37:07,1.6
17:37:11,1.9
17:37:15,1.1
17:37:19,0.4
17:37:23,1.2
17:37:27,0.9
17:37:31,1.1
17:37:35,1.3
17:37:39,1.7
17:37:43,1.6
17:37:47,1.6
17:37:51,1.8
17:37:55,1.8
17:37:59,2.3
17:38:03,1.9
17:38:07,1.7
17:38:11,1.4
17:38:15,1.7
17:38:19,2.8
17:38:23,2.6
17:38:27,2.9
17:38:31,3.4
17:38:35,2.6
17:38:39,2.8
17:38:43,2.7
17:38:47,1.8
17:38:51,1.6
17:38:55,1.4
17:38:59,2.1
17:39:03,2.7
17:39:07,2.4
17:39:11,2.1
17:39:15,2
17:39:19,2.1
17:39:23,1.8
17:39:27,2
17:39:31,1.9
17:39:35,1.8
17:39:39,1.8
17:39:43,2.1
17:39:47,1.8
17:39:51,1.9
17:39:55,1.5
17:39:59,1.7
17:40:03,1.1
17:40:07,1.5
17:40:11,2.5
17:40:15,3.3
17:40:19,2.7
17:40:23,2
17:40:27,1.7
17:40:31,1.7
17:40:35,2.3
17:40:39,2.4
17:40:43,2.2
17:40:47,3.6
17:40:51,3.9
17:40:55,3.2
17:40:59,2.8
17:41:03,2.3
17:41:07,3.1
17:41:11,2.7
17:41:15,1.8
17:41:19,2.2
17:41:23,2
17:41:27,2.2
17:41:31,1.4
17:41:35,1
17:41:39,0.8
17:41:43,0.9
17:41:47,0.6
17:41:51,0.1
17:41:55,0.1
17:41:59,0.8
17:42:03,1.4
17:42:07,1.6
17:42:11,1.9
17:42:15,2.4
17:42:19,1.7
17:42:23,1.8
17:42:27,1.8
17:42:31,1.8
17:42:35,1.2
17:42:39,1.2
17:42:43,0.9
17:42:47,1.2
17:42:51,1.9
17:42:55,2
17:42:59,1.3
17:43:03,1.4
17:43:07,1.6
17:43:11,1.7
17:43:15,2.2
17:43:19,1.9
17:43:23,2.2
17:43:27,1.8
17:43:31,2.1
17:43:35,1.5
17:43:39,1.9
17:43:43,1.7
17:43:47,1
17:43:51,1.4
17:43:55,1.3
17:43:59,1.8
17:44:03,1.7
17:44:07,2.2
17:44:11,2.2
17:44:15,1.7
17:44:19,2.3
17:44:23,1.8
17:44:27,1.3
17:44:31,0.8
17:44:35,1.7
17:44:39,2.1
17:44:43,1.9
17:44:47,1.7
17:44:51,0.5
17:44:55,1
17:44:59,1.4
17:45:03,1.8
17:45:07,1.7
17:45:11,2
17:45:15,1.7
17:45:19,1.4
17:45:23,1.5
17:45:27,1.9
17:45:31,3
17:45:35,2.5
17:45:39,2.4
17:45:43,2.4
17:45:47,2.5
17:45:51,1.9
17:45:55,2.1
17:45:59,3.1
17:46:03,2.5
17:46:08,3
17:46:12,2.3
17:46:16,2
17:46:20,2.1
17:46:24,2.3
17:46:28,2.1
17:46:32,1.8
17:46:36,1.8
17:46:40,1.8
17:46:44,2.1
17:46:48,2
17:46:52,2.3
17:46:56,2.5
17:47:00,1.7
17:47:04,1.7
17:47:08,1.3
17:47:12,2
17:47:16,1.2
17:47:20,1.3
17:47:24,1.6
17:47:28,2.1
17:47:32,2.2
17:47:36,2.4
17:47:40,1.9
17:47:44,2.3
17:47:48,1.5
17:47:52,1
17:47:56,1
17:48:00,1.3
17:48:04,1.5
17:48:08,1
17:48:12,0.4
17:48:16,0.9
17:48:20,1.1
17:48:24,0.7
17:48:28,0.2
17:48:32,0.7
17:48:36,1.1
17:48:40,2.7
17:48:44,2.2
17:48:48,1.8
17:48:52,1.1
17:48:56,0.8
17:49:00,1.4
17:49:04,1.2
17:49:08,1.7
17:49:12,1
17:49:16,0.4
17:49:20,1
17:49:24,0.8
17:49:28,1.3
17:49:32,1.6
17:49:36,1.2
17:49:40,1.2
17:49:44,0.8
17:49:48,0
17:49:52,0.5
17:49:56,0.1
17:50:00,0.1
17:50:04,1.2
17:50:08,1.2
17:50:12,1.7
17:50:16,2
17:50:20,2
17:50:24,1.3
17:50:28,1.3
17:50:32,1.9
17:50:36,1.5
17:50:40,2.1
17:50:44,1.2
17:50:48,0.9
17:50:52,1.5
17:50:56,1.9
17:51:00,2.1
17:51:04,1.9
17:51:08,2.4
17:51:12,2.8
17:51:16,2.5
17:51:20,2.1
17:51:24,1.9
17:51:28,2.9
17:51:32,2
17:51:36,2.1
17:51:40,1.1
17:51:44,1.1
17:51:48,1.2
17:51:52,1.4
17:51:56,0.6
17:52:00,1.7
17:52:04,1.4
17:52:08,1.7
17:52:12,1.7
17:52:16,1.1
17:52:20,0.2
17:52:24,0.5
17:52:28,1.1
17:52:32,1.3
17:52:36,1.4
17:52:40,1.4
17:52:44,1.7
17:52:48,1.8
17:52:52,1.6
17:52:56,1.3
17:53:00,2.6
17:53:04,3.2
17:53:08,3
17:53:12,2.1
17:53:16,2.8
17:53:20,2.2
17:53:24,1.4
17:53:28,0.2
17:53:32,0.8
17:53:36,0.9
17:53:40,0.7
17:53:44,0.8
17:53:48,1.8
17:53:52,1.6
17:53:56,1.5
17:54:00,1.1
17:54:04,1.1
17:54:08,1.9
17:54:12,2.6
17:54:16,2.8
17:54:20,2.8
17:54:24,2.6
17:54:28,2.7
17:54:32,2.2
17:54:36,1.9
17:54:40,3
17:54:44,2.7
17:54:48,2.1
17:54:52,1.9
17:54:56,1.9
17:55:00,2
17:55:04,1.9
17:55:08,1.6
17:55:12,1.8
17:55:16,1.9
17:55:20,3.2
17:55:24,2.8
17:55:28,3.5
17:55:32,3.4
17:55:36,2.3
17:55:40,1.7
17:55:44,1.4
17:55:48,1.6
17:55:52,1.7
17:55:56,1.8
17:56:00,3.9
17:56:04,3.5
17:56:08,2.4
17:56:12,3
17:56:16,2.5
17:56:20,2.5
17:56:24,2.2
17:56:28,2.2
17:56:32,1.3
17:56:36,1.2
17:56:40,1.7
17:56:44,1.5
17:56:48,1.2
17:56:52,1.2
17:56:56,1
17:57:00,2.2
17:57:04,3.1
17:57:08,3.2
17:57:12,3.8
17:57:16,3.6
17:57:20,4
17:57:24,3.2
17:57:28,3.4
17:57:32,3
17:57:36,2.7
17:57:40,2.2
17:57:44,1.9
17:57:48,1.6
17:57:52,0.7
17:57:56,1.3
17:58:00,0.6
17:58:04,2.2
17:58:08,2.5
17:58:12,1.9
17:58:16,1.3
17:58:20,1.3
17:58:24,2.6
17:58:28,3
17:58:32,2.1
17:58:36,2.2
17:58:40,2.3
17:58:44,2.6
17:58:48,2
17:58:52,1.7
17:58:56,1.5
17:59:00,1.6
17:59:04,1.7
17:59:08,1.5
17:59:12,2
17:59:16,1.5
17:59:20,1.1
17:59:24,1.6
17:59:28,1.3
17:59:32,1.2
17:59:32,1.2
