Date,Wind Velocity m/s,"Adjusted Wind speed (At zero wind speed, there is  7m/s average absolute shiift in wind speed. So subtract the 7 m/s in the data. 
Since, the time of flight is measured in microseconds, we used SI units to convert that data to wind velocity(m/s).   "
6/15/2024 17:13:12,9.4,2.4
6/15/2024 17:13:16,7.22,0.22
6/15/2024 17:13:20,11.41,4.41
6/15/2024 17:13:25,10.23,3.23
6/15/2024 17:13:29,11.04,4.04
6/15/2024 17:13:33,15.24,8.24
6/15/2024 17:13:37,9.95,2.95
6/15/2024 17:13:42,7.19,0.19
6/15/2024 17:13:46,10.42,3.42
6/15/2024 17:13:50,10.54,3.54
6/15/2024 17:13:55,10.36,3.36
6/15/2024 17:13:59,11.57,4.57
6/15/2024 17:14:03,7.69,0.69
6/15/2024 17:14:08,10.23,3.23
6/15/2024 17:14:12,10.54,3.54
6/15/2024 17:14:16,12.98,5.98
6/15/2024 17:14:20,9.88,2.88
6/15/2024 17:14:25,10.36,3.36
6/15/2024 17:14:29,10,3
6/15/2024 17:14:33,13.23,6.23
6/15/2024 17:14:38,12.85,5.85
6/15/2024 17:14:42,7.04,0.04
6/15/2024 17:14:46,7.77,0.77
6/15/2024 17:14:51,7.2,0.2
6/15/2024 17:14:55,9.94,2.94
6/15/2024 17:14:59,7.76,0.76
6/15/2024 17:15:03,10.2,3.2
6/15/2024 17:15:08,7.79,0.79
6/15/2024 17:15:12,10.19,3.19
6/15/2024 17:15:16,10.43,3.43
6/15/2024 17:15:21,10.35,3.35
6/15/2024 17:15:25,10.82,3.82
6/15/2024 17:15:29,10.79,3.79
6/15/2024 17:15:34,13.82,6.82
6/15/2024 17:15:38,12.8,5.8
6/15/2024 17:15:42,10.78,3.78
6/15/2024 17:15:46,10.56,3.56
6/15/2024 17:15:51,10.49,3.49
6/15/2024 17:15:55,13.4,6.4
6/15/2024 17:15:59,10.6,3.6
6/15/2024 17:16:04,10.81,3.81
6/15/2024 17:16:08,9.76,2.76
6/15/2024 17:16:12,10.11,3.11
6/15/2024 17:16:17,9.99,2.99
6/15/2024 17:16:21,10.31,3.31
6/15/2024 17:16:25,11.67,4.67
6/15/2024 17:16:29,10.35,3.35
6/15/2024 17:16:34,10.4,3.4
6/15/2024 17:16:38,13.29,6.29
6/15/2024 17:16:42,10.23,3.23
6/15/2024 17:16:47,8.4,1.4
6/15/2024 17:16:51,10.69,3.69
6/15/2024 17:16:55,10.34,3.34
6/15/2024 17:17:00,10.08,3.08
6/15/2024 17:17:04,11.72,4.72
6/15/2024 17:17:08,10.64,3.64
6/15/2024 17:17:12,10.73,3.73
6/15/2024 17:17:17,15.6,8.6
6/15/2024 17:17:21,10.32,3.32
6/15/2024 17:17:25,10.29,3.29
6/15/2024 17:17:30,11.49,4.49
6/15/2024 17:17:34,12.98,5.98
6/15/2024 17:17:38,12.92,5.92
6/15/2024 17:17:43,10.22,3.22
6/15/2024 17:17:47,15.43,8.43
6/15/2024 17:17:51,12.28,5.28
6/15/2024 17:17:55,11.77,4.77
6/15/2024 17:18:00,11.01,4.01
6/15/2024 17:18:04,10.22,3.22
6/15/2024 17:18:08,11.48,4.48
6/15/2024 17:18:13,10.38,3.38
6/15/2024 17:18:17,6.81,-0.19
6/15/2024 17:18:21,11.46,4.46
6/15/2024 17:18:26,10.33,3.33
6/15/2024 17:18:30,10.45,3.45
6/15/2024 17:18:34,10.9,3.9
6/15/2024 17:18:38,10.56,3.56
6/15/2024 17:18:43,10.41,3.41
6/15/2024 17:18:47,10.09,3.09
6/15/2024 17:18:51,10.12,3.12
6/15/2024 17:18:56,6.83,-0.17
6/15/2024 17:19:00,12.71,5.71
6/15/2024 17:19:04,10.94,3.94
6/15/2024 17:19:09,10.5,3.5
6/15/2024 17:19:13,15.14,8.14
6/15/2024 17:19:17,10.57,3.57
6/15/2024 17:19:21,12.96,5.96
6/15/2024 17:19:26,7.37,0.37
6/15/2024 17:19:30,7.49,0.49
6/15/2024 17:19:34,9.99,2.99
6/15/2024 17:19:39,10.12,3.12
6/15/2024 17:19:43,10.76,3.76
6/15/2024 17:19:47,10.1,3.1
6/15/2024 17:19:52,10.23,3.23
6/15/2024 17:19:56,8.18,1.18
6/15/2024 17:20:00,10.24,3.24
6/15/2024 17:20:04,10.66,3.66
6/15/2024 17:20:09,9.6,2.6
6/15/2024 17:20:13,6.7,-0.3
6/15/2024 17:20:17,9.95,2.95
6/15/2024 17:20:22,10.24,3.24
6/15/2024 17:20:26,6.85,-0.15
6/15/2024 17:20:30,6.93,-0.07
6/15/2024 17:20:35,10.09,3.09
6/15/2024 17:20:39,9,2
6/15/2024 17:20:43,10.57,3.57
6/15/2024 17:20:47,7.09,0.09
6/15/2024 17:20:52,10.56,3.56
6/15/2024 17:20:56,14.3,7.3
6/15/2024 17:21:00,10.58,3.58
6/15/2024 17:21:05,7.68,0.68
6/15/2024 17:21:09,10.4,3.4
6/15/2024 17:21:13,10.32,3.32
6/15/2024 17:21:18,10.44,3.44
6/15/2024 17:21:22,10.73,3.73
6/15/2024 17:21:26,10.54,3.54
6/15/2024 17:21:30,11.37,4.37
6/15/2024 17:21:35,10.36,3.36
6/15/2024 17:21:39,13.38,6.38
6/15/2024 17:21:43,12.79,5.79
6/15/2024 17:21:48,10.54,3.54
6/15/2024 17:21:52,10.22,3.22
6/15/2024 17:21:56,12.82,5.82
6/15/2024 17:22:01,10.84,3.84
6/15/2024 17:22:05,10.68,3.68
6/15/2024 17:22:09,10.33,3.33
6/15/2024 17:22:13,12.73,5.73
6/15/2024 17:22:18,13.23,6.23
6/15/2024 17:22:22,10.81,3.81
6/15/2024 17:22:26,12.56,5.56
6/15/2024 17:22:31,10.33,3.33
6/15/2024 17:22:35,10.8,3.8
6/15/2024 17:22:39,7.32,0.32
6/15/2024 17:22:44,10.09,3.09
6/15/2024 17:22:48,10.41,3.41
6/15/2024 17:22:52,10.12,3.12
6/15/2024 17:22:56,11.67,4.67
6/15/2024 17:23:01,12.92,5.92
6/15/2024 17:23:05,10.41,3.41
6/15/2024 17:23:09,10.42,3.42
6/15/2024 17:23:14,11.02,4.02
6/15/2024 17:23:18,12.48,5.48
6/15/2024 17:23:22,10.43,3.43
6/15/2024 17:23:27,10.46,3.46
6/15/2024 17:23:31,10.41,3.41
6/15/2024 17:23:35,12.39,5.39
6/15/2024 17:23:39,10.42,3.42
6/15/2024 17:23:44,7.55,0.55
6/15/2024 17:23:48,10.51,3.51
6/15/2024 17:23:52,10.07,3.07
6/15/2024 17:23:57,11.04,4.04
6/15/2024 17:24:01,9.98,2.98
6/15/2024 17:24:05,10.21,3.21
6/15/2024 17:24:10,7.37,0.37
6/15/2024 17:24:14,9,2
6/15/2024 17:24:18,10.32,3.32
6/15/2024 17:24:22,11.46,4.46
6/15/2024 17:24:27,10.54,3.54
6/15/2024 17:24:31,8.6,1.6
6/15/2024 17:24:35,12.82,5.82
6/15/2024 17:24:40,10.51,3.51
6/15/2024 17:24:44,7.19,0.19
6/15/2024 17:24:48,10.21,3.21
6/15/2024 17:24:53,10.31,3.31
6/15/2024 17:24:57,7.72,0.72
6/15/2024 17:25:01,10.79,3.79
6/15/2024 17:25:05,10.01,3.01
6/15/2024 17:25:10,9.78,2.78
6/15/2024 17:25:14,10.72,3.72
6/15/2024 17:25:18,10.17,3.17
6/15/2024 17:25:23,12.93,5.93
6/15/2024 17:25:27,9.97,2.97
6/15/2024 17:25:31,9.99,2.99
6/15/2024 17:25:36,10.25,3.25
6/15/2024 17:25:40,10.82,3.82
6/15/2024 17:25:44,10.01,3.01
6/15/2024 17:25:48,9.88,2.88
6/15/2024 17:25:53,10.13,3.13
6/15/2024 17:25:57,7.46,0.46
6/15/2024 17:26:01,10.33,3.33
6/15/2024 17:26:06,10.34,3.34
6/15/2024 17:26:10,10.56,3.56
6/15/2024 17:26:14,12.79,5.79
6/15/2024 17:26:19,8.06,1.06
6/15/2024 17:26:23,10.22,3.22
6/15/2024 17:26:27,12.77,5.77
6/15/2024 17:26:31,11.34,4.34
6/15/2024 17:26:36,10.19,3.19
6/15/2024 17:26:40,10.12,3.12
6/15/2024 17:26:44,10.22,3.22
6/15/2024 17:26:49,10.11,3.11
6/15/2024 17:26:53,8.43,1.43
6/15/2024 17:26:57,7.2,0.2
6/15/2024 17:27:02,11.87,4.87
6/15/2024 17:27:06,10.21,3.21
6/15/2024 17:27:10,10.1,3.1
6/15/2024 17:27:14,9.89,2.89
6/15/2024 17:27:19,7.36,0.36
6/15/2024 17:27:23,9.97,2.97
6/15/2024 17:27:27,10.23,3.23
6/15/2024 17:27:32,10.2,3.2
6/15/2024 17:27:36,10.47,3.47
6/15/2024 17:27:40,10.11,3.11
6/15/2024 17:27:45,9.71,2.71
6/15/2024 17:27:49,10.46,3.46
6/15/2024 17:27:53,13.15,6.15
6/15/2024 17:27:57,7.17,0.17
6/15/2024 17:28:02,3.86,-3.14
6/15/2024 17:28:06,9.72,2.72
6/15/2024 17:28:10,9.71,2.71
6/15/2024 17:28:15,7.2,0.2
6/15/2024 17:28:19,9.89,2.89
6/15/2024 17:28:23,8.03,1.03
6/15/2024 17:28:28,10.1,3.1
6/15/2024 17:28:32,10.21,3.21
6/15/2024 17:28:36,9.85,2.85
6/15/2024 17:28:40,10.26,3.26
6/15/2024 17:28:45,10.09,3.09
6/15/2024 17:28:49,10.25,3.25
6/15/2024 17:28:53,10.1,3.1
6/15/2024 17:28:58,13.08,6.08
6/15/2024 17:29:02,9.68,2.68
6/15/2024 17:29:06,6.93,-0.07
6/15/2024 17:29:11,9.85,2.85
6/15/2024 17:29:15,11.43,4.43
6/15/2024 17:29:19,7.3,0.3
6/15/2024 17:29:23,8.17,1.17
6/15/2024 17:29:28,9.79,2.79
6/15/2024 17:29:32,9.04,2.04
6/15/2024 17:29:36,10.36,3.36
6/15/2024 17:29:41,10.58,3.58
6/15/2024 17:29:45,7.57,0.57
6/15/2024 17:29:49,7.49,0.49
6/15/2024 17:29:54,10.29,3.29
6/15/2024 17:29:58,10.85,3.85
6/15/2024 17:30:02,7.94,0.94
6/15/2024 17:30:06,7.65,0.65
6/15/2024 17:30:11,7.76,0.76
6/15/2024 17:30:15,7.47,0.47
6/15/2024 17:30:19,10.15,3.15
6/15/2024 17:30:24,7.46,0.46
6/15/2024 17:30:28,4.87,-2.13
6/15/2024 17:30:32,10,3
6/15/2024 17:30:37,10.72,3.72
6/15/2024 17:30:41,7.54,0.54
6/15/2024 17:30:45,10.11,3.11
6/15/2024 17:30:49,8.35,1.35
6/15/2024 17:30:54,10.29,3.29
6/15/2024 17:30:58,10.16,3.16
6/15/2024 17:31:02,12.22,5.22
6/15/2024 17:31:07,4.4,-2.6
6/15/2024 17:31:11,9.89,2.89
6/15/2024 17:31:15,9.94,2.94
6/15/2024 17:31:20,6.58,-0.42
6/15/2024 17:31:24,10.4,3.4
6/15/2024 17:31:28,10.59,3.59
6/15/2024 17:31:32,13.7,6.7
6/15/2024 17:31:37,10.44,3.44
6/15/2024 17:31:41,10,3
6/15/2024 17:31:45,10.25,3.25
6/15/2024 17:31:50,10.05,3.05
6/15/2024 17:31:54,10.75,3.75
6/15/2024 17:31:58,9.67,2.67
6/15/2024 17:32:03,7.35,0.35
6/15/2024 17:32:07,10.2,3.2
6/15/2024 17:32:11,10.4,3.4
6/15/2024 17:32:15,8.21,1.21
6/15/2024 17:32:20,10.29,3.29
6/15/2024 17:32:24,11.25,4.25
6/15/2024 17:32:28,10.41,3.41
6/15/2024 17:32:33,10.61,3.61
6/15/2024 17:32:37,10.61,3.61
6/15/2024 17:32:41,10.33,3.33
6/15/2024 17:32:46,10.23,3.23
6/15/2024 17:32:50,7,0
6/15/2024 17:32:54,6.73,-0.27
6/15/2024 17:32:58,10.26,3.26
6/15/2024 17:33:03,10,3
6/15/2024 17:33:07,10.15,3.15
6/15/2024 17:33:11,9.88,2.88
6/15/2024 17:33:16,10.24,3.24
6/15/2024 17:33:20,7.88,0.88
6/15/2024 17:33:24,10.39,3.39
6/15/2024 17:33:29,10.23,3.23
6/15/2024 17:33:33,8.18,1.18
6/15/2024 17:33:37,9.78,2.78
6/15/2024 17:33:41,6.76,-0.24
6/15/2024 17:33:46,9.88,2.88
6/15/2024 17:33:50,7.92,0.92
6/15/2024 17:33:54,10.16,3.16
6/15/2024 17:33:59,10.67,3.67
6/15/2024 17:34:03,10.52,3.52
6/15/2024 17:34:07,10.47,3.47
6/15/2024 17:34:12,9.86,2.86
6/15/2024 17:34:16,7.06,0.06
6/15/2024 17:34:20,10.43,3.43
6/15/2024 17:34:24,10.48,3.48
6/15/2024 17:34:29,10.35,3.35
6/15/2024 17:34:33,10.4,3.4
6/15/2024 17:34:37,10.67,3.67
6/15/2024 17:34:42,10.12,3.12
6/15/2024 17:34:46,10.01,3.01
6/15/2024 17:34:50,9.79,2.79
6/15/2024 17:34:55,9.88,2.88
6/15/2024 17:34:59,11.63,4.63
6/15/2024 17:35:03,9.91,2.91
6/15/2024 17:35:07,13,6
6/15/2024 17:35:12,10.29,3.29
6/15/2024 17:35:16,7,0
6/15/2024 17:35:20,10.37,3.37
6/15/2024 17:35:25,9.79,2.79
6/15/2024 17:35:29,9.73,2.73
6/15/2024 17:35:33,11.01,4.01
6/15/2024 17:35:38,10.29,3.29
6/15/2024 17:35:42,10.1,3.1
6/15/2024 17:35:46,10.19,3.19
6/15/2024 17:35:50,10.4,3.4
6/15/2024 17:35:55,10.08,3.08
6/15/2024 17:35:59,6.88,-0.12
6/15/2024 17:36:03,9.91,2.91
6/15/2024 17:36:08,6.91,-0.09
6/15/2024 17:36:12,9.82,2.82
6/15/2024 17:36:16,7.13,0.13
6/15/2024 17:36:21,9.67,2.67
6/15/2024 17:36:25,9.84,2.84
6/15/2024 17:36:29,7.29,0.29
6/15/2024 17:36:33,12.54,5.54
6/15/2024 17:36:38,7.35,0.35
6/15/2024 17:36:42,6.88,-0.12
6/15/2024 17:36:46,10.02,3.02
6/15/2024 17:36:51,10.76,3.76
6/15/2024 17:36:55,7.58,0.58
6/15/2024 17:36:59,7.39,0.39
6/15/2024 17:37:04,13.12,6.12
6/15/2024 17:37:08,10.11,3.11
6/15/2024 17:37:12,10.27,3.27
6/15/2024 17:37:16,10.76,3.76
6/15/2024 17:37:21,10.24,3.24
6/15/2024 17:37:25,6.06,-0.94
6/15/2024 17:37:29,6.95,-0.05
6/15/2024 17:37:34,10.43,3.43
6/15/2024 17:37:38,10.7,3.7
6/15/2024 17:37:42,10.41,3.41
6/15/2024 17:37:47,10.67,3.67
6/15/2024 17:37:51,11.7,4.7
6/15/2024 17:37:55,10.19,3.19
6/15/2024 17:37:59,10.09,3.09
6/15/2024 17:38:04,10.25,3.25
6/15/2024 17:38:08,7.35,0.35
6/15/2024 17:38:12,7.55,0.55
6/15/2024 17:38:17,12.54,5.54
6/15/2024 17:38:21,12.96,5.96
6/15/2024 17:38:25,10.21,3.21
6/15/2024 17:38:30,10.11,3.11
6/15/2024 17:38:34,10.23,3.23
6/15/2024 17:38:38,10.01,3.01
6/15/2024 17:38:42,9.98,2.98
6/15/2024 17:38:47,7.82,0.82
6/15/2024 17:38:51,10.34,3.34
6/15/2024 17:38:55,10.51,3.51
6/15/2024 17:39:00,12.96,5.96
6/15/2024 17:39:04,10.26,3.26
6/15/2024 17:39:08,10.11,3.11
6/15/2024 17:39:13,10.11,3.11
6/15/2024 17:39:17,12.19,5.19
6/15/2024 17:39:21,9.89,2.89
6/15/2024 17:39:25,10.34,3.34
6/15/2024 17:39:30,10.43,3.43
6/15/2024 17:39:34,10.47,3.47
6/15/2024 17:39:38,12.94,5.94
6/15/2024 17:39:43,10.25,3.25
6/15/2024 17:39:47,7.61,0.61
6/15/2024 17:39:51,10.21,3.21
6/15/2024 17:39:56,10.38,3.38
6/15/2024 17:40:00,7.72,0.72
6/15/2024 17:40:04,11.84,4.84
6/15/2024 17:40:08,11.24,4.24
6/15/2024 17:40:13,10.25,3.25
6/15/2024 17:40:17,10.33,3.33
6/15/2024 17:40:21,10.08,3.08
6/15/2024 17:40:26,10.94,3.94
6/15/2024 17:40:30,10.5,3.5
6/15/2024 17:40:34,10.29,3.29
6/15/2024 17:40:39,7.57,0.57
6/15/2024 17:40:43,4.52,-2.48
6/15/2024 17:40:47,8.38,1.38
6/15/2024 17:40:51,10.27,3.27
6/15/2024 17:40:56,10.26,3.26
6/15/2024 17:41:00,8.2,1.2
6/15/2024 17:41:04,10.62,3.62
6/15/2024 17:41:09,4.63,-2.37
6/15/2024 17:41:13,6.9,-0.1
6/15/2024 17:41:17,7.74,0.74
6/15/2024 17:41:22,10.67,3.67
6/15/2024 17:41:26,7.87,0.87
6/15/2024 17:41:30,10.44,3.44
6/15/2024 17:41:34,10.25,3.25
6/15/2024 17:41:39,10.09,3.09
6/15/2024 17:41:43,10.24,3.24
6/15/2024 17:41:47,10.11,3.11
6/15/2024 17:41:52,7.4,0.4
6/15/2024 17:41:56,4.91,-2.09
6/15/2024 17:42:00,10.02,3.02
6/15/2024 17:42:05,8.03,1.03
6/15/2024 17:42:09,10.23,3.23
6/15/2024 17:42:13,10.33,3.33
6/15/2024 17:42:17,7.58,0.58
6/15/2024 17:42:22,10.33,3.33
6/15/2024 17:42:26,7.48,0.48
6/15/2024 17:42:30,10.53,3.53
6/15/2024 17:42:35,7.64,0.64
6/15/2024 17:42:39,10.22,3.22
6/15/2024 17:42:43,10,3
6/15/2024 17:42:48,10.22,3.22
6/15/2024 17:42:52,10.01,3.01
6/15/2024 17:42:56,9.91,2.91
6/15/2024 17:43:00,10.1,3.1
6/15/2024 17:43:05,10.24,3.24
6/15/2024 17:43:09,9.67,2.67
6/15/2024 17:43:13,7.63,0.63
6/15/2024 17:43:18,7.45,0.45
6/15/2024 17:43:22,10.33,3.33
6/15/2024 17:43:26,10.21,3.21
6/15/2024 17:43:31,10.48,3.48
6/15/2024 17:43:35,10.23,3.23
6/15/2024 17:43:39,7.84,0.84
6/15/2024 17:43:43,10.39,3.39
6/15/2024 17:43:48,7.77,0.77
6/15/2024 17:43:52,7.42,0.42
6/15/2024 17:43:56,7.23,0.23
6/15/2024 17:44:01,6.91,-0.09
6/15/2024 17:44:05,7.27,0.27
6/15/2024 17:44:09,9.89,2.89
6/15/2024 17:44:14,9.77,2.77
6/15/2024 17:44:18,10.13,3.13
6/15/2024 17:44:22,7.72,0.72
6/15/2024 17:44:26,7.52,0.52
6/15/2024 17:44:31,10.4,3.4
6/15/2024 17:44:35,7.25,0.25
6/15/2024 17:44:39,10.27,3.27
6/15/2024 17:44:44,9.22,2.22
6/15/2024 17:44:48,8.13,1.13
6/15/2024 17:44:52,10.92,3.92
6/15/2024 17:44:57,9.52,2.52
6/15/2024 17:45:01,7.6,0.6
6/15/2024 17:45:05,10.45,3.45
6/15/2024 17:45:09,10.27,3.27
6/15/2024 17:45:14,10.41,3.41
6/15/2024 17:45:18,10.44,3.44
6/15/2024 17:45:22,10.37,3.37
6/15/2024 17:45:27,10.54,3.54
6/15/2024 17:45:31,10.69,3.69
6/15/2024 17:45:35,7.71,0.71
6/15/2024 17:45:40,10.32,3.32
6/15/2024 17:45:44,10.47,3.47
6/15/2024 17:45:48,10.13,3.13
6/15/2024 17:45:52,7.89,0.89
6/15/2024 17:45:57,10.69,3.69
6/15/2024 17:46:01,10.58,3.58
6/15/2024 17:46:05,7.31,0.31
6/15/2024 17:46:10,7.76,0.76
6/15/2024 17:46:14,7.25,0.25
6/15/2024 17:46:18,7.44,0.44
6/15/2024 17:46:23,7.65,0.65
6/15/2024 17:46:27,7.45,0.45
6/15/2024 17:46:31,6.95,-0.05
6/15/2024 17:46:35,7.37,0.37
6/15/2024 17:46:40,8.1,1.1
6/15/2024 17:46:44,10.57,3.57
6/15/2024 17:46:48,7.57,0.57
6/15/2024 17:46:53,7.72,0.72
6/15/2024 17:46:57,10.36,3.36
6/15/2024 17:47:01,10.36,3.36
6/15/2024 17:47:06,7.49,0.49
6/15/2024 17:47:10,9.79,2.79
6/15/2024 17:47:14,7.34,0.34
6/15/2024 17:47:18,7.41,0.41
6/15/2024 17:47:23,9.78,2.78
6/15/2024 17:47:27,7.6,0.6
6/15/2024 17:47:31,7.44,0.44
6/15/2024 17:47:36,9.89,2.89
6/15/2024 17:47:40,10.29,3.29
6/15/2024 17:47:44,7.39,0.39
6/15/2024 17:47:49,9.77,2.77
6/15/2024 17:47:53,9.84,2.84
6/15/2024 17:47:57,8.01,1.01
6/15/2024 17:48:01,7.55,0.55
6/15/2024 17:48:06,10.01,3.01
6/15/2024 17:48:10,4.42,-2.58
6/15/2024 17:48:14,7.42,0.42
6/15/2024 17:48:19,7.21,0.21
6/15/2024 17:48:23,7.58,0.58
6/15/2024 17:48:27,9.78,2.78
6/15/2024 17:48:32,4.22,-2.78
6/15/2024 17:48:36,10.12,3.12
6/15/2024 17:48:40,7.36,0.36
6/15/2024 17:48:44,7.55,0.55
6/15/2024 17:48:49,4.3,-2.7
6/15/2024 17:48:53,7.55,0.55
6/15/2024 17:48:57,10.13,3.13
6/15/2024 17:49:02,10.88,3.88
6/15/2024 17:49:06,10.3,3.3
6/15/2024 17:49:10,7.44,0.44
6/15/2024 17:49:15,6.97,-0.03
6/15/2024 17:49:19,9.92,2.92
6/15/2024 17:49:23,7.72,0.72
6/15/2024 17:49:27,7.27,0.27
6/15/2024 17:49:32,10.38,3.38
6/15/2024 17:49:36,10.17,3.17
6/15/2024 17:49:40,7.78,0.78
6/15/2024 17:49:45,7.47,0.47
6/15/2024 17:49:49,10.51,3.51
6/15/2024 17:49:53,10.35,3.35
6/15/2024 17:49:58,7.65,0.65
6/15/2024 17:50:02,6.77,-0.23
6/15/2024 17:50:06,6.98,-0.02
6/15/2024 17:50:10,7.74,0.74
6/15/2024 17:50:15,7.36,0.36
6/15/2024 17:50:19,10.69,3.69
6/15/2024 17:50:23,10.53,3.53
6/15/2024 17:50:28,10.48,3.48
6/15/2024 17:50:32,10.29,3.29
6/15/2024 17:50:36,10.52,3.52
6/15/2024 17:50:41,12.92,5.92
6/15/2024 17:50:45,7.95,0.95
6/15/2024 17:50:49,10.23,3.23
6/15/2024 17:50:53,10.25,3.25
6/15/2024 17:50:58,7.81,0.81
6/15/2024 17:51:02,10.67,3.67
6/15/2024 17:51:06,9.94,2.94
6/15/2024 17:51:11,7.24,0.24
6/15/2024 17:51:15,7.43,0.43
6/15/2024 17:51:19,7.43,0.43
6/15/2024 17:51:24,7.08,0.08
6/15/2024 17:51:28,10.23,3.23
6/15/2024 17:51:32,10.41,3.41
6/15/2024 17:51:36,10.29,3.29
6/15/2024 17:51:41,7.37,0.37
6/15/2024 17:51:45,10.52,3.52
6/15/2024 17:51:49,7.65,0.65
6/15/2024 17:51:54,8.95,1.95
6/15/2024 17:51:58,7.58,0.58
6/15/2024 17:52:02,7.52,0.52
6/15/2024 17:52:07,15.22,8.22
6/15/2024 17:52:11,7.61,0.61
6/15/2024 17:52:15,10.52,3.52
6/15/2024 17:52:19,10.4,3.4
6/15/2024 17:52:24,7.18,0.18
6/15/2024 17:52:28,13.22,6.22
6/15/2024 17:52:32,10.41,3.41
6/15/2024 17:52:37,7.49,0.49
6/15/2024 17:52:41,8.22,1.22
6/15/2024 17:52:45,7.92,0.92
6/15/2024 17:52:50,7.39,0.39
6/15/2024 17:52:54,8.32,1.32
6/15/2024 17:52:58,10.39,3.39
6/15/2024 17:53:02,9.91,2.91
6/15/2024 17:53:07,6.95,-0.05
6/15/2024 17:53:11,10.12,3.12
6/15/2024 17:53:15,9.33,2.33
6/15/2024 17:53:20,7.36,0.36
6/15/2024 17:53:24,10.19,3.19
6/15/2024 17:53:28,10.43,3.43
6/15/2024 17:53:33,10.34,3.34
6/15/2024 17:53:37,7.94,0.94
6/15/2024 17:53:41,10.31,3.31
6/15/2024 17:53:45,7.82,0.82
6/15/2024 17:53:50,10.24,3.24
6/15/2024 17:53:54,8.05,1.05
6/15/2024 17:53:58,10.49,3.49
6/15/2024 17:54:03,10.22,3.22
6/15/2024 17:54:07,12.98,5.98
6/15/2024 17:54:11,10.84,3.84
6/15/2024 17:54:16,8.59,1.59
6/15/2024 17:54:20,7.32,0.32
6/15/2024 17:54:24,13.02,6.02
6/15/2024 17:54:28,10.08,3.08
6/15/2024 17:54:33,10.43,3.43
6/15/2024 17:54:37,8.1,1.1
6/15/2024 17:54:41,10.56,3.56
6/15/2024 17:54:46,10.81,3.81
6/15/2024 17:54:50,10.6,3.6
6/15/2024 17:54:54,7.96,0.96
6/15/2024 17:54:59,7.47,0.47
6/15/2024 17:55:03,7.61,0.61
6/15/2024 17:55:07,8.42,1.42
6/15/2024 17:55:11,11.17,4.17
6/15/2024 17:55:16,10.45,3.45
6/15/2024 17:55:20,7.29,0.29
6/15/2024 17:55:24,7.86,0.86
6/15/2024 17:55:29,10.69,3.69
6/15/2024 17:55:33,4.66,-2.34
6/15/2024 17:55:37,7.72,0.72
6/15/2024 17:55:42,7.57,0.57
6/15/2024 17:55:46,10.71,3.71
6/15/2024 17:55:50,7.37,0.37
6/15/2024 17:55:54,12.62,5.62
6/15/2024 17:55:59,7.36,0.36
6/15/2024 17:56:03,10.14,3.14
6/15/2024 17:56:07,7.81,0.81
6/15/2024 17:56:12,7.47,0.47
6/15/2024 17:56:16,10.35,3.35
6/15/2024 17:56:20,11.44,4.44
6/15/2024 17:56:25,10.65,3.65
6/15/2024 17:56:29,10.78,3.78
6/15/2024 17:56:33,11.48,4.48
6/15/2024 17:56:37,8.13,1.13
6/15/2024 17:56:42,8.07,1.07
6/15/2024 17:56:46,4.58,-2.42
6/15/2024 17:56:50,8.05,1.05
6/15/2024 17:56:55,8.36,1.36
6/15/2024 17:56:59,5.33,-1.67
6/15/2024 17:57:03,8.2,1.2
6/15/2024 17:57:08,5.28,-1.72
6/15/2024 17:57:12,9.58,2.58
6/15/2024 17:57:16,7.34,0.34
6/15/2024 17:57:20,13.03,6.03
6/15/2024 17:57:25,7.71,0.71
6/15/2024 17:57:29,7.42,0.42
6/15/2024 17:57:33,5.33,-1.67
6/15/2024 17:57:38,5.06,-1.94
6/15/2024 17:57:42,10.8,3.8
6/15/2024 17:57:46,10.59,3.59
6/15/2024 17:57:51,7.85,0.85
6/15/2024 17:57:55,4.4,-2.6
6/15/2024 17:57:59,10.58,3.58
6/15/2024 17:58:03,11.19,4.19
6/15/2024 17:58:08,7.79,0.79
6/15/2024 17:58:12,10.81,3.81
6/15/2024 17:58:16,7.34,0.34
6/15/2024 17:58:21,7.23,0.23
6/15/2024 17:58:25,10.11,3.11
6/15/2024 17:58:29,10.39,3.39
6/15/2024 17:58:34,5.5,-1.5
6/15/2024 17:58:38,10.21,3.21
6/15/2024 17:58:42,10.36,3.36
6/15/2024 17:58:46,7.61,0.61
6/15/2024 17:58:51,10.62,3.62
6/15/2024 17:58:55,8.87,1.87
6/15/2024 17:58:59,8.21,1.21
6/15/2024 17:59:04,7.22,0.22
6/15/2024 17:59:08,8,1
6/15/2024 17:59:12,8.02,1.02
6/15/2024 17:59:17,7.72,0.72
6/15/2024 17:59:21,10.18,3.18
6/15/2024 17:59:25,10.05,3.05
6/15/2024 17:59:29,10.23,3.23
6/15/2024 17:59:34,10.09,3.09
6/15/2024 17:59:38,7.81,0.81
